Dealer_ID,Dealer_Name,Region,City,Monthly_Sales,Annual_Target,Target_Achieved,Customer_Satisfaction,Discount_Offered,Vehicles_Sold
BIH-001,Bih_Dealer_1,Bihar,City_14,305,5410,1.12,4.66,30080,372
BIH-002,Bih_Dealer_2,Bihar,City_4,407,4381,0.74,4.05,34030,38
BIH-003,Bih_Dealer_3,Bihar,City_12,144,4049,0.95,3.03,24356,43
BIH-004,Bih_Dealer_4,Bihar,City_1,276,5656,1.04,4.98,41606,332
BIH-005,Bih_Dealer_5,Bihar,City_3,446,5717,0.9,4.98,14409,323
BIH-006,Bih_Dealer_6,Bihar,City_13,447,4312,0.76,3.74,43987,237
BIH-007,Bih_Dealer_7,Bihar,City_13,396,5298,1.15,3.67,38753,322
BIH-008,Bih_Dealer_8,Bihar,City_5,458,5975,0.51,4.45,36002,281
BIH-009,Bih_Dealer_9,Bihar,City_15,345,4746,1.07,3.91,38229,291
BIH-010,Bih_Dealer_10,Bihar,City_5,469,5138,0.63,3.63,24936,391
BIH-011,Bih_Dealer_11,Bihar,City_14,335,5331,0.83,3.55,44741,195
BIH-012,Bih_Dealer_12,Bihar,City_16,450,4258,0.71,3.46,22367,79
BIH-013,Bih_Dealer_13,Bihar,City_16,442,4685,1.0,4.69,35764,398
BIH-014,Bih_Dealer_14,Bihar,City_8,246,5002,0.93,3.91,33110,370
BIH-015,Bih_Dealer_15,Bihar,City_18,427,5288,1.1,3.05,25195,272
BIH-016,Bih_Dealer_16,Bihar,City_4,130,5476,0.66,4.7,18861,54
BIH-017,Bih_Dealer_17,Bihar,City_18,156,4148,0.8,4.06,47905,357
BIH-018,Bih_Dealer_18,Bihar,City_15,60,4104,0.8,4.51,16680,316
BIH-019,Bih_Dealer_19,Bihar,City_6,54,4916,0.97,3.6,19145,350
BIH-020,Bih_Dealer_20,Bihar,City_19,339,4386,0.65,3.33,32539,242
BIH-021,Bih_Dealer_21,Bihar,City_2,439,5348,0.69,4.53,49514,348
BIH-022,Bih_Dealer_22,Bihar,City_4,204,4602,0.57,3.04,45365,153
BIH-023,Bih_Dealer_23,Bihar,City_10,89,5669,0.99,4.33,43324,267
BIH-024,Bih_Dealer_24,Bihar,City_3,170,5506,0.86,3.21,22987,96
BIH-025,Bih_Dealer_25,Bihar,City_9,143,5340,0.75,3.89,26360,322
BIH-026,Bih_Dealer_26,Bihar,City_19,73,5798,0.66,3.62,18229,42
BIH-027,Bih_Dealer_27,Bihar,City_1,102,5470,1.02,3.7,39430,79
BIH-028,Bih_Dealer_28,Bihar,City_6,137,4696,0.6,3.41,24196,397
BIH-029,Bih_Dealer_29,Bihar,City_17,326,5761,0.8,4.83,17465,195
BIH-030,Bih_Dealer_30,Bihar,City_1,238,5964,1.0,4.86,19787,156
BIH-031,Bih_Dealer_31,Bihar,City_12,378,5897,1.06,3.06,29039,256
BIH-032,Bih_Dealer_32,Bihar,City_5,323,4671,0.91,3.28,27640,250
BIH-033,Bih_Dealer_33,Bihar,City_9,441,4501,1.01,4.6,26148,346
BIH-034,Bih_Dealer_34,Bihar,City_16,52,5277,0.79,3.42,35360,189
BIH-035,Bih_Dealer_35,Bihar,City_19,329,4139,0.94,3.74,44639,66
BIH-036,Bih_Dealer_36,Bihar,City_8,152,5214,0.8,4.33,48750,383
BIH-037,Bih_Dealer_37,Bihar,City_19,155,4423,0.58,3.53,18852,77
BIH-038,Bih_Dealer_38,Bihar,City_15,432,4845,0.95,4.26,39334,66
BIH-039,Bih_Dealer_39,Bihar,City_15,226,4133,1.16,4.68,16515,229
BIH-040,Bih_Dealer_40,Bihar,City_2,247,4301,0.96,3.65,45492,321
BIH-041,Bih_Dealer_41,Bihar,City_9,329,4189,0.54,3.92,18123,98
BIH-042,Bih_Dealer_42,Bihar,City_19,258,5369,1.03,4.93,48083,226
BIH-043,Bih_Dealer_43,Bihar,City_7,246,4131,1.13,3.84,35331,134
BIH-044,Bih_Dealer_44,Bihar,City_7,52,4238,0.78,4.76,23151,393
BIH-045,Bih_Dealer_45,Bihar,City_17,483,4816,0.55,4.07,49625,166
BIH-046,Bih_Dealer_46,Bihar,City_12,91,4726,0.79,4.43,48813,326
BIH-047,Bih_Dealer_47,Bihar,City_3,358,4601,0.52,4.8,37142,110
BIH-048,Bih_Dealer_48,Bihar,City_11,145,5885,1.03,4.22,38827,121
BIH-049,Bih_Dealer_49,Bihar,City_13,341,4725,0.51,3.04,38402,36
BIH-050,Bih_Dealer_50,Bihar,City_2,110,4170,1.08,4.66,12148,172
BIH-051,Bih_Dealer_51,Bihar,City_19,52,4508,0.51,3.46,46516,113
BIH-052,Bih_Dealer_52,Bihar,City_10,298,4272,0.77,3.75,30568,278
