Dealer_ID,Dealer_Name,Region,City,Monthly_Sales,Annual_Target,Target_Achieved,Customer_Satisfaction,Discount_Offered,Vehicles_Sold
GUJ-001,Guj_Dealer_1,Gujarat,City_12,430,5444,1.06,4.17,39507,321
GUJ-002,Guj_Dealer_2,Gujarat,City_11,307,4286,0.66,4.8,45182,39
GUJ-003,Guj_Dealer_3,Gujarat,City_6,387,4354,0.95,3.23,45420,256
GUJ-004,Guj_Dealer_4,Gujarat,City_14,203,5458,1.18,3.4,18136,371
GUJ-005,Guj_Dealer_5,Gujarat,City_1,299,4295,0.93,4.29,21137,384
GUJ-006,Guj_Dealer_6,Gujarat,City_17,454,4325,1.04,4.85,22623,171
GUJ-007,Guj_Dealer_7,Gujarat,City_12,400,5680,1.19,4.62,25149,184
GUJ-008,Guj_Dealer_8,Gujarat,City_11,474,5559,0.83,3.29,14883,250
GUJ-009,Guj_Dealer_9,Gujarat,City_13,80,4680,1.01,3.41,47834,381
GUJ-010,Guj_Dealer_10,Gujarat,City_14,51,5682,0.58,4.39,41867,309
GUJ-011,Guj_Dealer_11,Gujarat,City_20,288,4944,1.15,3.29,24503,232
GUJ-012,Guj_Dealer_12,Gujarat,City_6,199,5086,1.08,4.68,33721,198
GUJ-013,Guj_Dealer_13,Gujarat,City_5,327,4207,1.11,4.72,48603,30
GUJ-014,Guj_Dealer_14,Gujarat,City_4,158,5884,0.55,3.76,20774,229
GUJ-015,Guj_Dealer_15,Gujarat,City_11,461,4468,0.61,4.95,24352,143
GUJ-016,Guj_Dealer_16,Gujarat,City_9,358,5642,0.76,3.65,49094,160
GUJ-017,Guj_Dealer_17,Gujarat,City_12,126,4577,0.78,3.92,42051,242
GUJ-018,Guj_Dealer_18,Gujarat,City_2,401,4452,1.02,4.56,45238,185
GUJ-019,Guj_Dealer_19,Gujarat,City_1,52,4732,1.17,4.05,32188,329
GUJ-020,Guj_Dealer_20,Gujarat,City_7,261,5290,0.71,3.77,25509,218
GUJ-021,Guj_Dealer_21,Gujarat,City_5,223,5815,1.02,4.39,37307,43
GUJ-022,Guj_Dealer_22,Gujarat,City_7,176,5762,0.62,3.63,10680,31
GUJ-023,Guj_Dealer_23,Gujarat,City_18,374,5666,0.64,3.91,41316,273
GUJ-024,Guj_Dealer_24,Gujarat,City_8,193,4348,0.8,3.34,42863,165
GUJ-025,Guj_Dealer_25,Gujarat,City_17,375,5889,0.93,4.34,25231,203
GUJ-026,Guj_Dealer_26,Gujarat,City_5,63,4565,0.83,4.75,23847,223
GUJ-027,Guj_Dealer_27,Gujarat,City_16,453,4617,0.61,4.24,47493,247
GUJ-028,Guj_Dealer_28,Gujarat,City_11,358,4314,1.0,4.49,36208,279
GUJ-029,Guj_Dealer_29,Gujarat,City_20,418,4878,0.52,4.01,33688,289
GUJ-030,Guj_Dealer_30,Gujarat,City_16,492,5387,1.16,3.08,38696,193
GUJ-031,Guj_Dealer_31,Gujarat,City_1,467,5929,0.58,3.58,47921,102
GUJ-032,Guj_Dealer_32,Gujarat,City_9,185,4681,0.99,3.12,11847,225
GUJ-033,Guj_Dealer_33,Gujarat,City_4,367,4987,0.9,3.87,48768,108
GUJ-034,Guj_Dealer_34,Gujarat,City_7,258,4266,1.16,3.71,24604,342
GUJ-035,Guj_Dealer_35,Gujarat,City_3,92,5671,0.91,4.89,15212,242
GUJ-036,Guj_Dealer_36,Gujarat,City_20,190,4408,0.68,4.52,42198,357
GUJ-037,Guj_Dealer_37,Gujarat,City_15,434,4992,0.63,4.9,42285,190
