Dealer_ID,Dealer_Name,Region,City,Monthly_Sales,Annual_Target,Target_Achieved,Customer_Satisfaction,Discount_Offered,Vehicles_Sold
MAD-001,Mad_Dealer_1,Madhya Pradesh,City_7,192,4007,0.82,4.61,36149,113
MAD-002,Mad_Dealer_2,Madhya Pradesh,City_18,304,4378,1.07,4.75,13895,333
MAD-003,Mad_Dealer_3,Madhya Pradesh,City_15,369,5855,0.55,4.74,23912,324
MAD-004,Mad_Dealer_4,Madhya Pradesh,City_20,213,5955,0.89,4.12,12776,270
MAD-005,Mad_Dealer_5,Madhya Pradesh,City_5,100,5411,1.01,4.57,20352,373
MAD-006,Mad_Dealer_6,Madhya Pradesh,City_20,326,4784,1.11,3.81,39365,342
MAD-007,Mad_Dealer_7,Madhya Pradesh,City_14,409,5924,1.08,4.63,17275,322
MAD-008,Mad_Dealer_8,Madhya Pradesh,City_3,76,5998,1.09,4.82,42326,317
MAD-009,Mad_Dealer_9,Madhya Pradesh,City_7,72,4556,0.76,4.78,33360,78
MAD-010,Mad_Dealer_10,Madhya Pradesh,City_3,290,5997,0.98,3.47,41249,156
MAD-011,Mad_Dealer_11,Madhya Pradesh,City_15,231,4066,0.73,4.57,15799,389
MAD-012,Mad_Dealer_12,Madhya Pradesh,City_2,56,4725,0.97,4.81,48397,73
MAD-013,Mad_Dealer_13,Madhya Pradesh,City_2,170,5227,0.92,4.1,49006,250
MAD-014,Mad_Dealer_14,Madhya Pradesh,City_12,89,5065,0.56,3.02,28115,304
MAD-015,Mad_Dealer_15,Madhya Pradesh,City_19,402,4586,0.52,4.99,12670,47
MAD-016,Mad_Dealer_16,Madhya Pradesh,City_3,250,5167,0.8,3.05,30727,90
MAD-017,Mad_Dealer_17,Madhya Pradesh,City_12,365,5689,0.84,4.63,31957,248
MAD-018,Mad_Dealer_18,Madhya Pradesh,City_15,340,5054,1.05,3.25,11281,155
MAD-019,Mad_Dealer_19,Madhya Pradesh,City_3,124,5548,0.76,3.82,41608,221
MAD-020,Mad_Dealer_20,Madhya Pradesh,City_1,392,4897,1.11,4.87,12210,324
MAD-021,Mad_Dealer_21,Madhya Pradesh,City_5,473,5269,0.93,3.8,22563,226
MAD-022,Mad_Dealer_22,Madhya Pradesh,City_18,374,4456,1.06,4.42,45284,57
MAD-023,Mad_Dealer_23,Madhya Pradesh,City_12,117,4400,0.53,3.94,44700,231
MAD-024,Mad_Dealer_24,Madhya Pradesh,City_10,344,4149,0.51,4.41,44796,369
MAD-025,Mad_Dealer_25,Madhya Pradesh,City_14,142,4276,0.84,3.14,40131,365
MAD-026,Mad_Dealer_26,Madhya Pradesh,City_7,385,5490,0.91,3.95,34938,219
MAD-027,Mad_Dealer_27,Madhya Pradesh,City_12,87,5850,0.78,4.74,49694,113
MAD-028,Mad_Dealer_28,Madhya Pradesh,City_2,320,4872,1.06,3.92,28777,355
MAD-029,Mad_Dealer_29,Madhya Pradesh,City_18,184,5758,1.09,3.37,27876,48
MAD-030,Mad_Dealer_30,Madhya Pradesh,City_20,373,5854,0.86,3.04,31319,296
MAD-031,Mad_Dealer_31,Madhya Pradesh,City_15,311,4960,0.87,3.97,29931,90
MAD-032,Mad_Dealer_32,Madhya Pradesh,City_1,113,5249,0.98,4.23,48412,241
MAD-033,Mad_Dealer_33,Madhya Pradesh,City_13,59,4418,0.57,4.95,36683,163
MAD-034,Mad_Dealer_34,Madhya Pradesh,City_13,365,4504,0.56,3.99,19484,301
MAD-035,Mad_Dealer_35,Madhya Pradesh,City_7,498,5854,0.92,3.68,25759,213
MAD-036,Mad_Dealer_36,Madhya Pradesh,City_14,463,4186,0.59,3.59,25693,170
MAD-037,Mad_Dealer_37,Madhya Pradesh,City_17,227,5083,0.67,3.7,18818,193
MAD-038,Mad_Dealer_38,Madhya Pradesh,City_3,302,4286,0.78,4.17,41926,192
MAD-039,Mad_Dealer_39,Madhya Pradesh,City_12,71,4296,0.82,3.26,48065,329
MAD-040,Mad_Dealer_40,Madhya Pradesh,City_12,100,5665,0.7,3.05,38672,184
MAD-041,Mad_Dealer_41,Madhya Pradesh,City_11,90,4037,1.1,3.34,43631,31
MAD-042,Mad_Dealer_42,Madhya Pradesh,City_19,224,5719,1.09,3.18,27003,253
MAD-043,Mad_Dealer_43,Madhya Pradesh,City_11,441,5090,0.52,4.88,29023,48
MAD-044,Mad_Dealer_44,Madhya Pradesh,City_4,204,4537,0.84,4.12,17715,296
MAD-045,Mad_Dealer_45,Madhya Pradesh,City_20,106,5702,0.64,3.82,19578,267
MAD-046,Mad_Dealer_46,Madhya Pradesh,City_12,191,4540,0.7,4.69,36309,104
MAD-047,Mad_Dealer_47,Madhya Pradesh,City_14,409,5643,0.51,4.97,13938,308
MAD-048,Mad_Dealer_48,Madhya Pradesh,City_8,237,4497,1.12,4.75,46467,273
MAD-049,Mad_Dealer_49,Madhya Pradesh,City_20,194,4127,0.81,3.1,42002,366
MAD-050,Mad_Dealer_50,Madhya Pradesh,City_18,182,4722,0.95,4.99,38919,362
MAD-051,Mad_Dealer_51,Madhya Pradesh,City_12,212,4039,0.6,3.36,24080,330
MAD-052,Mad_Dealer_52,Madhya Pradesh,City_5,214,5384,0.73,4.61,19475,225
MAD-053,Mad_Dealer_53,Madhya Pradesh,City_12,435,5684,0.86,3.56,19031,45
MAD-054,Mad_Dealer_54,Madhya Pradesh,City_18,54,4357,0.95,4.27,28485,159
MAD-055,Mad_Dealer_55,Madhya Pradesh,City_11,140,5644,1.11,3.99,23421,74
MAD-056,Mad_Dealer_56,Madhya Pradesh,City_16,330,5138,1.11,3.46,29723,300
MAD-057,Mad_Dealer_57,Madhya Pradesh,City_10,279,5618,0.72,4.19,31241,51
MAD-058,Mad_Dealer_58,Madhya Pradesh,City_3,401,4534,0.8,3.31,23512,280
MAD-059,Mad_Dealer_59,Madhya Pradesh,City_3,382,5159,1.18,4.6,34746,242
MAD-060,Mad_Dealer_60,Madhya Pradesh,City_10,303,4818,1.1,3.62,12731,270
MAD-061,Mad_Dealer_61,Madhya Pradesh,City_14,136,5506,0.85,4.25,27496,253
MAD-062,Mad_Dealer_62,Madhya Pradesh,City_5,78,4225,0.72,3.77,19073,168
MAD-063,Mad_Dealer_63,Madhya Pradesh,City_13,488,5404,0.53,3.95,25768,67
MAD-064,Mad_Dealer_64,Madhya Pradesh,City_9,147,4156,1.18,4.0,19388,167
MAD-065,Mad_Dealer_65,Madhya Pradesh,City_6,361,4914,0.93,3.15,24587,355
MAD-066,Mad_Dealer_66,Madhya Pradesh,City_5,174,5601,0.54,4.17,42263,352
MAD-067,Mad_Dealer_67,Madhya Pradesh,City_15,411,4841,0.58,3.63,49194,255
MAD-068,Mad_Dealer_68,Madhya Pradesh,City_10,305,5658,0.78,3.05,19568,244
MAD-069,Mad_Dealer_69,Madhya Pradesh,City_4,117,4240,0.76,4.12,40534,114
MAD-070,Mad_Dealer_70,Madhya Pradesh,City_20,218,4674,0.89,3.73,45830,177
MAD-071,Mad_Dealer_71,Madhya Pradesh,City_12,275,5380,1.0,3.84,38591,279
MAD-072,Mad_Dealer_72,Madhya Pradesh,City_8,441,5926,0.61,3.78,37552,319
MAD-073,Mad_Dealer_73,Madhya Pradesh,City_17,398,5318,0.51,3.83,38589,363
MAD-074,Mad_Dealer_74,Madhya Pradesh,City_17,236,5986,1.17,3.41,48972,39
MAD-075,Mad_Dealer_75,Madhya Pradesh,City_14,426,4960,1.15,3.76,24921,161
MAD-076,Mad_Dealer_76,Madhya Pradesh,City_18,221,5086,1.01,3.14,22102,237
MAD-077,Mad_Dealer_77,Madhya Pradesh,City_16,100,4669,1.2,4.36,31483,208
MAD-078,Mad_Dealer_78,Madhya Pradesh,City_9,371,4717,0.61,3.51,26253,255
MAD-079,Mad_Dealer_79,Madhya Pradesh,City_7,372,5970,1.0,3.41,26105,136
MAD-080,Mad_Dealer_80,Madhya Pradesh,City_3,158,4472,0.92,3.59,36557,217
