Dealer_ID,Dealer_Name,Region,City,Monthly_Sales,Annual_Target,Target_Achieved,Customer_Satisfaction,Discount_Offered,Vehicles_Sold
MAH-001,Mah_Dealer_1,Maharashtra,City_17,146,4368,1.0,4.21,48257,188
MAH-002,Mah_Dealer_2,Maharashtra,City_11,229,4864,0.53,3.72,22600,386
MAH-003,Mah_Dealer_3,Maharashtra,City_14,397,4900,0.98,4.9,39196,171
MAH-004,Mah_Dealer_4,Maharashtra,City_5,486,4233,0.87,4.85,15923,78
MAH-005,Mah_Dealer_5,Maharashtra,City_15,151,5770,0.53,4.48,38693,62
MAH-006,Mah_Dealer_6,Maharashtra,City_18,211,4314,1.13,3.82,28685,223
MAH-007,Mah_Dealer_7,Maharashtra,City_13,309,5638,0.92,4.09,20671,264
MAH-008,Mah_Dealer_8,Maharashtra,City_19,245,4413,0.78,3.63,42868,208
MAH-009,Mah_Dealer_9,Maharashtra,City_17,359,5008,1.17,4.67,39547,42
MAH-010,Mah_Dealer_10,Maharashtra,City_19,92,4563,0.87,4.28,40156,117
MAH-011,Mah_Dealer_11,Maharashtra,City_7,377,5363,0.62,4.83,32587,229
MAH-012,Mah_Dealer_12,Maharashtra,City_3,232,4066,0.62,4.71,19825,279
MAH-013,Mah_Dealer_13,Maharashtra,City_4,383,5072,0.56,3.33,29360,241
MAH-014,Mah_Dealer_14,Maharashtra,City_14,94,5734,0.93,4.99,23073,381
MAH-015,Mah_Dealer_15,Maharashtra,City_20,289,5116,0.76,3.58,39127,98
MAH-016,Mah_Dealer_16,Maharashtra,City_18,61,4874,0.99,4.72,24675,277
MAH-017,Mah_Dealer_17,Maharashtra,City_20,459,5179,1.03,3.91,43790,256
MAH-018,Mah_Dealer_18,Maharashtra,City_8,447,5401,0.82,3.13,44085,50
MAH-019,Mah_Dealer_19,Maharashtra,City_9,347,4961,0.9,3.27,13475,198
MAH-020,Mah_Dealer_20,Maharashtra,City_18,180,5092,0.6,4.48,17936,268
MAH-021,Mah_Dealer_21,Maharashtra,City_9,161,4202,1.05,3.68,21770,45
MAH-022,Mah_Dealer_22,Maharashtra,City_7,385,4027,0.83,3.67,44749,209
MAH-023,Mah_Dealer_23,Maharashtra,City_8,179,5677,0.9,4.74,26560,313
MAH-024,Mah_Dealer_24,Maharashtra,City_5,166,5365,1.11,3.82,14086,219
MAH-025,Mah_Dealer_25,Maharashtra,City_12,213,5913,0.87,3.36,44431,147
MAH-026,Mah_Dealer_26,Maharashtra,City_15,197,4681,0.81,3.99,39142,358
MAH-027,Mah_Dealer_27,Maharashtra,City_16,207,5840,0.73,4.76,43968,154
