Dealer_ID,Dealer_Name,Region,City,Monthly_Sales,Annual_Target,Target_Achieved,Customer_Satisfaction,Discount_Offered,Vehicles_Sold
PUN-001,Pun_Dealer_1,Punjab,City_4,406,5657,0.5,4.88,26718,57
PUN-002,Pun_Dealer_2,Punjab,City_20,92,5067,0.68,4.74,30158,43
PUN-003,Pun_Dealer_3,Punjab,City_17,144,5344,1.0,3.7,37593,107
PUN-004,Pun_Dealer_4,Punjab,City_4,446,4095,0.88,3.84,27553,32
PUN-005,Pun_Dealer_5,Punjab,City_9,252,5907,0.71,3.75,17805,85
PUN-006,Pun_Dealer_6,Punjab,City_11,209,4035,0.62,4.8,35970,367
PUN-007,Pun_Dealer_7,Punjab,City_13,254,5581,0.73,3.99,26079,209
PUN-008,Pun_Dealer_8,Punjab,City_5,395,4159,1.02,3.09,17419,164
PUN-009,Pun_Dealer_9,Punjab,City_1,71,5477,0.58,3.28,33550,332
PUN-010,Pun_Dealer_10,Punjab,City_19,196,4657,0.64,4.56,20806,364
PUN-011,Pun_Dealer_11,Punjab,City_8,115,4530,0.94,3.75,40002,83
PUN-012,Pun_Dealer_12,Punjab,City_10,343,4171,0.72,4.75,32175,373
PUN-013,Pun_Dealer_13,Punjab,City_10,466,5473,0.56,4.76,37490,372
PUN-014,Pun_Dealer_14,Punjab,City_1,359,5804,0.95,3.07,33629,123
PUN-015,Pun_Dealer_15,Punjab,City_3,439,4593,0.88,4.18,48011,73
PUN-016,Pun_Dealer_16,Punjab,City_17,488,5094,0.56,4.09,15648,158
PUN-017,Pun_Dealer_17,Punjab,City_9,482,5685,1.16,4.53,40922,226
PUN-018,Pun_Dealer_18,Punjab,City_12,490,4608,1.17,4.36,30365,291
PUN-019,Pun_Dealer_19,Punjab,City_6,472,5830,1.15,4.2,37205,99
PUN-020,Pun_Dealer_20,Punjab,City_2,431,4435,1.0,4.34,46966,224
PUN-021,Pun_Dealer_21,Punjab,City_19,195,5605,0.7,4.85,28165,317
PUN-022,Pun_Dealer_22,Punjab,City_5,386,5541,0.54,4.07,10095,73
PUN-023,Pun_Dealer_23,Punjab,City_12,477,5121,1.17,3.43,10598,265
PUN-024,Pun_Dealer_24,Punjab,City_13,427,4445,0.54,3.18,33873,161
PUN-025,Pun_Dealer_25,Punjab,City_9,282,5165,0.83,3.25,18026,38
PUN-026,Pun_Dealer_26,Punjab,City_6,260,5301,0.6,4.48,19130,396
PUN-027,Pun_Dealer_27,Punjab,City_2,71,5472,0.56,3.49,11941,308
PUN-028,Pun_Dealer_28,Punjab,City_13,464,5066,0.62,3.18,19666,267
PUN-029,Pun_Dealer_29,Punjab,City_17,168,4296,1.02,4.29,41341,294
PUN-030,Pun_Dealer_30,Punjab,City_7,433,5089,0.99,3.47,15440,129
PUN-031,Pun_Dealer_31,Punjab,City_8,335,4921,0.71,3.88,14953,256
PUN-032,Pun_Dealer_32,Punjab,City_19,57,5123,1.09,4.56,21560,162
PUN-033,Pun_Dealer_33,Punjab,City_12,63,5444,0.69,4.94,48582,335
PUN-034,Pun_Dealer_34,Punjab,City_8,220,5198,0.88,3.69,11088,123
PUN-035,Pun_Dealer_35,Punjab,City_12,226,5482,1.09,3.27,27980,386
PUN-036,Pun_Dealer_36,Punjab,City_19,57,5725,1.16,4.72,23156,118
PUN-037,Pun_Dealer_37,Punjab,City_8,332,5457,1.03,3.2,29053,324
PUN-038,Pun_Dealer_38,Punjab,City_3,98,5840,0.58,4.05,23691,300
PUN-039,Pun_Dealer_39,Punjab,City_12,231,4123,1.02,4.45,45372,277
PUN-040,Pun_Dealer_40,Punjab,City_13,123,5894,0.82,4.4,40922,354
PUN-041,Pun_Dealer_41,Punjab,City_13,180,5531,0.99,4.43,28313,177
PUN-042,Pun_Dealer_42,Punjab,City_20,322,5131,1.06,4.15,43282,381
PUN-043,Pun_Dealer_43,Punjab,City_16,194,4462,0.89,3.33,37797,215
PUN-044,Pun_Dealer_44,Punjab,City_16,388,4056,1.02,3.04,32854,365
PUN-045,Pun_Dealer_45,Punjab,City_14,165,5982,1.13,3.87,13182,249
PUN-046,Pun_Dealer_46,Punjab,City_8,478,4253,0.91,3.46,28428,342
PUN-047,Pun_Dealer_47,Punjab,City_7,184,5981,0.59,4.56,15615,205
PUN-048,Pun_Dealer_48,Punjab,City_13,471,4777,0.62,4.47,42097,71
PUN-049,Pun_Dealer_49,Punjab,City_13,482,5737,1.05,3.85,40791,323
PUN-050,Pun_Dealer_50,Punjab,City_17,244,5403,0.82,4.12,35076,323
PUN-051,Pun_Dealer_51,Punjab,City_13,205,4896,0.62,3.65,38156,155
PUN-052,Pun_Dealer_52,Punjab,City_3,136,4355,0.61,3.47,43879,34
PUN-053,Pun_Dealer_53,Punjab,City_6,159,4557,0.71,3.96,20703,126
PUN-054,Pun_Dealer_54,Punjab,City_1,416,4884,0.97,3.53,20264,50
PUN-055,Pun_Dealer_55,Punjab,City_14,293,5225,0.59,3.59,36754,277
PUN-056,Pun_Dealer_56,Punjab,City_5,402,5009,0.72,3.4,21431,176
PUN-057,Pun_Dealer_57,Punjab,City_3,85,4509,0.99,3.82,15865,131
PUN-058,Pun_Dealer_58,Punjab,City_16,141,5238,0.68,3.27,33763,342
PUN-059,Pun_Dealer_59,Punjab,City_17,137,5498,0.62,4.96,21484,170
PUN-060,Pun_Dealer_60,Punjab,City_16,54,5125,0.63,4.04,49419,327
PUN-061,Pun_Dealer_61,Punjab,City_8,211,4754,0.75,3.06,32747,56
PUN-062,Pun_Dealer_62,Punjab,City_18,476,5882,1.12,4.57,35284,272
PUN-063,Pun_Dealer_63,Punjab,City_17,409,4481,1.0,3.74,35263,399
