Dealer_ID,Dealer_Name,Region,City,Monthly_Sales,Annual_Target,Target_Achieved,Customer_Satisfaction,Discount_Offered,Vehicles_Sold
UTT-001,Utt_Dealer_1,Uttar Pradesh,City_18,101,4240,0.9,4.52,15193,388
UTT-002,Utt_Dealer_2,Uttar Pradesh,City_20,50,5960,0.98,3.7,10148,321
UTT-003,Utt_Dealer_3,Uttar Pradesh,City_17,361,4562,0.6,4.09,30693,378
UTT-004,Utt_Dealer_4,Uttar Pradesh,City_11,423,4989,0.85,4.84,23257,147
UTT-005,Utt_Dealer_5,Uttar Pradesh,City_6,159,5551,0.87,3.27,35233,306
UTT-006,Utt_Dealer_6,Uttar Pradesh,City_4,91,4025,0.7,3.02,26455,81
UTT-007,Utt_Dealer_7,Uttar Pradesh,City_17,384,4125,0.55,4.92,23550,51
UTT-008,Utt_Dealer_8,Uttar Pradesh,City_15,366,5324,1.02,3.52,21853,316
UTT-009,Utt_Dealer_9,Uttar Pradesh,City_12,113,5340,1.1,3.49,11871,354
UTT-010,Utt_Dealer_10,Uttar Pradesh,City_13,440,5194,1.1,4.66,14731,116
UTT-011,Utt_Dealer_11,Uttar Pradesh,City_2,389,5011,0.7,4.23,38472,302
UTT-012,Utt_Dealer_12,Uttar Pradesh,City_17,132,4555,0.99,3.13,19944,105
UTT-013,Utt_Dealer_13,Uttar Pradesh,City_13,291,5288,1.18,4.47,45616,388
UTT-014,Utt_Dealer_14,Uttar Pradesh,City_19,299,5988,0.97,4.66,32294,64
UTT-015,Utt_Dealer_15,Uttar Pradesh,City_4,363,4454,0.72,4.8,20485,39
UTT-016,Utt_Dealer_16,Uttar Pradesh,City_12,253,5867,0.78,4.97,31495,105
UTT-017,Utt_Dealer_17,Uttar Pradesh,City_3,393,4525,1.04,4.53,39865,52
UTT-018,Utt_Dealer_18,Uttar Pradesh,City_18,177,5213,0.83,3.33,10229,380
UTT-019,Utt_Dealer_19,Uttar Pradesh,City_12,308,4741,0.66,3.38,21577,118
UTT-020,Utt_Dealer_20,Uttar Pradesh,City_11,286,5371,0.94,4.1,45980,256
UTT-021,Utt_Dealer_21,Uttar Pradesh,City_4,105,4890,0.96,4.25,21392,103
