Dealer_ID,Dealer_Name,Region,City,Monthly_Sales,Annual_Target,Target_Achieved,Customer_Satisfaction,Discount_Offered,Vehicles_Sold
WES-001,Wes_Dealer_1,West Bengal,City_14,389,4772,1.16,3.14,48395,215
WES-002,Wes_Dealer_2,West Bengal,City_15,266,5922,0.88,3.69,14552,344
WES-003,Wes_Dealer_3,West Bengal,City_19,159,4559,0.85,4.78,20314,203
WES-004,Wes_Dealer_4,West Bengal,City_10,205,5562,1.07,3.08,14126,66
WES-005,Wes_Dealer_5,West Bengal,City_14,389,5948,1.11,4.59,48549,304
WES-006,Wes_Dealer_6,West Bengal,City_8,277,4550,0.99,4.59,35477,81
WES-007,Wes_Dealer_7,West Bengal,City_3,370,4413,0.78,4.76,35611,318
WES-008,Wes_Dealer_8,West Bengal,City_8,130,5920,1.06,4.37,34792,147
WES-009,Wes_Dealer_9,West Bengal,City_16,212,4558,0.85,4.69,38570,219
WES-010,Wes_Dealer_10,West Bengal,City_8,399,4336,1.08,3.21,43722,398
WES-011,Wes_Dealer_11,West Bengal,City_6,324,4238,0.81,4.9,22996,308
WES-012,Wes_Dealer_12,West Bengal,City_17,293,4674,0.99,3.5,39822,168
WES-013,Wes_Dealer_13,West Bengal,City_6,350,4632,1.07,4.11,27731,75
WES-014,Wes_Dealer_14,West Bengal,City_5,142,5894,0.86,3.69,23821,88
WES-015,Wes_Dealer_15,West Bengal,City_20,411,5714,1.12,4.33,14325,164
WES-016,Wes_Dealer_16,West Bengal,City_10,461,5012,0.98,4.72,29045,153
WES-017,Wes_Dealer_17,West Bengal,City_10,485,4204,0.63,3.52,13832,68
WES-018,Wes_Dealer_18,West Bengal,City_7,78,4530,0.74,4.67,49269,353
WES-019,Wes_Dealer_19,West Bengal,City_17,456,5220,0.98,5.0,38455,258
WES-020,Wes_Dealer_20,West Bengal,City_13,325,4320,1.11,4.16,18503,164
WES-021,Wes_Dealer_21,West Bengal,City_20,385,5239,1.16,3.81,20323,194
WES-022,Wes_Dealer_22,West Bengal,City_19,86,4550,0.84,4.31,49442,170
WES-023,Wes_Dealer_23,West Bengal,City_4,343,5751,0.81,3.56,28231,31
WES-024,Wes_Dealer_24,West Bengal,City_5,121,5327,0.81,4.8,34178,165
WES-025,Wes_Dealer_25,West Bengal,City_1,67,5886,1.14,4.94,39899,349
WES-026,Wes_Dealer_26,West Bengal,City_16,213,5625,0.53,4.16,44890,258
WES-027,Wes_Dealer_27,West Bengal,City_4,237,5315,0.97,4.76,18581,76
WES-028,Wes_Dealer_28,West Bengal,City_6,177,4035,0.74,4.07,40293,323
WES-029,Wes_Dealer_29,West Bengal,City_8,387,5071,1.12,3.37,35312,336
WES-030,Wes_Dealer_30,West Bengal,City_17,449,4091,1.01,3.94,15599,93
WES-031,Wes_Dealer_31,West Bengal,City_18,106,4484,0.99,3.65,32523,136
WES-032,Wes_Dealer_32,West Bengal,City_17,136,5800,0.72,3.93,48106,54
WES-033,Wes_Dealer_33,West Bengal,City_7,139,4305,0.65,3.99,46994,375
WES-034,Wes_Dealer_34,West Bengal,City_16,340,5038,0.52,4.52,37183,257
WES-035,Wes_Dealer_35,West Bengal,City_10,99,4825,0.87,3.88,40202,389
WES-036,Wes_Dealer_36,West Bengal,City_1,308,4411,1.07,3.96,15366,42
